"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Aug-2022","    17243.20","    17356.25","    17154.80","    17340.05","      381532671","        23221.04"
"02-Aug-2022","    17310.15","    17390.15","    17215.85","    17345.45","      333639093","        22576.94"
"03-Aug-2022","    17349.25","    17407.50","    17225.85","    17388.15","      285414666","        20842.13"
"04-Aug-2022","    17463.10","    17490.70","    17161.25","    17382.00","      324981426","        21848.21"
"05-Aug-2022","    17423.65","    17474.40","    17348.75","    17397.50","      355310802","        20013.14"
"08-Aug-2022","    17401.50","    17548.80","    17359.75","    17525.10","      256994113","        18475.21"
"10-Aug-2022","    17566.10","    17566.10","    17442.80","    17534.75","      312716544","        21952.35"
"11-Aug-2022","    17711.65","    17719.30","    17631.95","    17659.00","      311247237","        20476.53"
"12-Aug-2022","    17659.65","    17724.65","    17597.85","    17698.15","      303872483","        18422.47"
"16-Aug-2022","    17797.20","    17839.10","    17764.05","    17825.25","      278042725","        18495.27"
"17-Aug-2022","    17868.15","    17965.95","    17833.35","    17944.25","      262768582","        21209.54"
"18-Aug-2022","    17898.65","    17968.45","    17852.05","    17956.50","      263914197","        18441.68"
"19-Aug-2022","    17966.55","    17992.20","    17710.75","    17758.45","      295627263","        21531.99"
"22-Aug-2022","    17682.90","    17690.05","    17467.35","    17490.70","      287559133","        19605.44"
"23-Aug-2022","    17357.35","    17625.55","    17345.20","    17577.50","      285616338","        20365.80"
"24-Aug-2022","    17525.45","    17623.65","    17499.25","    17604.95","      261953239","        17819.88"
"25-Aug-2022","    17679.00","    17726.50","    17487.45","    17522.45","      230181848","        17566.70"
"26-Aug-2022","    17619.30","    17685.85","    17519.35","    17558.90","      266636238","        17500.80"
"29-Aug-2022","    17188.65","    17380.15","    17166.20","    17312.90","      244854637","        19351.50"
"30-Aug-2022","    17414.95","    17777.65","    17401.50","    17759.30","      324687477","        26284.26"
"01-Sep-2022","    17485.70","    17695.60","    17468.45","    17542.80","      308526598","        26813.95"
